inegi_entidad,entidad,inegi_municipio,municipio,id_delito,delito,carpetas,tasa,fecha
1,Aguascalientes,1011,San Francisco De Los Romo,4001,Robo con violencia,4,7.296207904815674,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,4100,Robo de vehículo,4,7.296207904815674,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,4200,Robo a casa habitación,5,9.120259284973145,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,4300,Robo a negocio,11,20.064571380615234,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,4400,Robo a transeúnte total,3,5.472155928611755,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,4940,Robo en transporte público,1,1.8240519762039185,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,5000,Violación,0,0,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,6000,Violencia familiar,13,23.712675094604492,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,7000,Trata de personas,0,0,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,8000,Narcomenudeo,9,16.416467666625977,2024-08
1,Aguascalientes,1011,San Francisco De Los Romo,9000,Lesiones dolosas,14,25.536727905273438,2024-08
10,Durango,10001,Canatlan,0,Total de delitos,31,86.0561294555664,2024-08
10,Durango,10001,Canatlan,1100,Homicidio doloso,0,0,2024-08
10,Durango,10001,Canatlan,1120,Feminicidio,0,0,2024-08
10,Durango,10001,Canatlan,1200,Homicidio culposo,0,0,2024-08
10,Durango,10001,Canatlan,2000,Secuestro,0,0,2024-08
10,Durango,10001,Canatlan,3000,Extorsión,0,0,2024-08
10,Durango,10001,Canatlan,4001,Robo con violencia,0,0,2024-08
10,Durango,10001,Canatlan,4100,Robo de vehículo,1,2.7760043144226074,2024-08
10,Durango,10001,Canatlan,4200,Robo a casa habitación,0,0,2024-08
10,Durango,10001,Canatlan,4300,Robo a negocio,1,2.7760043144226074,2024-08
10,Durango,10001,Canatlan,4400,Robo a transeúnte total,0,0,2024-08
10,Durango,10001,Canatlan,4940,Robo en transporte público,0,0,2024-08
10,Durango,10001,Canatlan,5000,Violación,0,0,2024-08
10,Durango,10001,Canatlan,6000,Violencia familiar,1,2.7760043144226074,2024-08
10,Durango,10001,Canatlan,7000,Trata de personas,0,0,2024-08
10,Durango,10001,Canatlan,8000,Narcomenudeo,1,2.7760043144226074,2024-08
10,Durango,10001,Canatlan,9000,Lesiones dolosas,2,5.552008628845215,2024-08
10,Durango,10002,Canelas,0,Total de delitos,2,40.420372009277344,2024-08
10,Durango,10002,Canelas,1100,Homicidio doloso,0,0,2024-08
10,Durango,10002,Canelas,1120,Feminicidio,0,0,2024-08
10,Durango,10002,Canelas,1200,Homicidio culposo,0,0,2024-08
10,Durango,10002,Canelas,2000,Secuestro,0,0,2024-08
10,Durango,10002,Canelas,3000,Extorsión,0,0,2024-08
10,Durango,10002,Canelas,4001,Robo con violencia,0,0,2024-08
10,Durango,10002,Canelas,4100,Robo de vehículo,0,0,2024-08
